"Titolo_Nota_Atomica","Testo_Nota","Autore_Citato","Opera_Citata","Pagine_Riferimento","Edizione_Riferimento","Sezione_Riferimento","Nota_Markdown"
"Critica al concetto di 'Natura'","La critica all'idea di 'Natura' come un'entità separata, incontaminata e quasi sacra è la tesi centrale di Timothy Morton in Ecologia senza natura. Morton sostiene che il concetto stesso di 'Natura' crea una distanza artificiale che impedisce una vera coscienza ecologica.","Timothy Morton","Ecology without Nature: Rethinking Environmental Aesthetics","1-34","","Sfera Ecosistemica","### Critica al concetto di 'Natura'

**Sezione:** [[Sfera Ecosistemica]]
**Autori:** [[Timothy Morton]]

**Concetti Chiave:** Natura, Ecologia, Antropocentrismo

La critica all'idea di 'Natura' come un'entità separata, incontaminata e quasi sacra è la tesi centrale di Timothy Morton in Ecologia senza natura. Morton sostiene che il concetto stesso di 'Natura' crea una distanza artificiale che impedisce una vera coscienza ecologica.

> *Ecology without nature means that we can finally have a properly ecological view. [...] The idea of nature is getting in the way of properly ecological forms of culture, philosophy, politics, and art. [...] To have a properly ecological view, we must relinquish the idea of nature.*

**Fonte:** Ecology without Nature: Rethinking Environmental Aesthetics, p. 1"
"Critica all'ecologia strumentale","Questa critica a un'ecologia strumentale e antropocentrica, che protegge la natura solo in funzione dell'utilità umana, è un punto chiave del pensiero di Latour, che invita a considerare gli agenti non-umani (come Gaia) come attori con cui negoziare, non come risorse da gestire.","Bruno Latour","La sfida di Gaia. Il nuovo regime climatico","","","Essere Minoranza","### Critica all'ecologia strumentale

**Sezione:** [[Essere Minoranza]]
**Autori:** [[Bruno Latour]]

**Concetti Chiave:** Ecologia, Antropocentrismo, Gaia

Questa critica a un'ecologia strumentale e antropocentrica, che protegge la natura solo in funzione dell'utilità umana, è un punto chiave del pensiero di Latour, che invita a considerare gli agenti non-umani (come Gaia) come attori con cui negoziare, non come risorse da gestire.

> **Nota:** Questa è una nota concettuale di sintesi, non legata a una singola pagina.

**Fonte:** La sfida di Gaia. Il nuovo regime climatico"
"Decolonizzazione della natura e Gaia (Latour)","La sua proposta di 'decolonizzazione della natura' unisce l'ontologia di Barad con il progetto politico di Bruno Latour. Per Latour, riconoscere 'Gaia' non come la Natura pacificata ma come un agente attivo e potente con cui siamo in conflitto è il primo passo per uscire dalla logica moderna.","Bruno Latour & Karen Barad","La sfida di Gaia. Il nuovo regime climatico","43-78","","Rompere la normatività","### Decolonizzazione della natura e Gaia (Latour)

**Sezione:** [[Rompere la normatività]]
**Autori:** [[Bruno Latour]], [[Karen Barad]]

**Concetti Chiave:** Decolonizzazione, Natura, Gaia, Intra-azione

La sua proposta di 'decolonizzazione della natura' unisce l'ontologia di Barad con il progetto politico di Bruno Latour. Per Latour, riconoscere 'Gaia' non come la Natura pacificata ma come un agente attivo e potente con cui siamo in conflitto è il primo passo per uscire dalla logica moderna.

> *Gaia è il nome della divinità che serve a indicare la superficie finalmente attiva che reagisce – letteralmente si mette a reagire – alle azioni degli umani.*

**Fonte:** La sfida di Gaia. Il nuovo regime climatico, p. 74"
"Critica allo specismo come logica coloniale","Questa analisi unisce la critica all'alterità come 'risorsa' (Fisher) con la critica allo specismo come logica coloniale (Filippi). L'espropriazione non è solo economica, ma ontologica, e riguarda tanto i popoli colonizzati quanto le specie non-umane.","Mark Fisher & Massimo Filippi","Questioni di specie","","","Sfera Sociale","### Critica allo specismo come logica coloniale

**Sezione:** [[Sfera Sociale]]
**Autori:** [[Mark Fisher]], [[Massimo Filippi]]

**Concetti Chiave:** Specismo, Colonialismo, Sfruttamento

Questa analisi unisce la critica all'alterità come 'risorsa' (Fisher) con la critica allo specismo come logica coloniale (Filippi). L'espropriazione non è solo economica, ma ontologica, e riguarda tanto i popoli colonizzati quanto le specie non-umane.

> **Nota:** Questa è una nota concettuale di sintesi, non legata a una singola pagina.

**Fonte:** Questioni di specie"
"Ecologia come pratica culturale e convivenze multispecie","Visione dell'ecologia come pratica culturale che si fonda sulla critica all'idea di 'Natura' (Morton) e propone 'convivenze multispecie' (Haraway) superando lo specismo (Filippi).","Massimo Filippi","Il virus e la specie. Diffrazioni della vita informe","41-48","","Sfera Ecosistemica","### Ecologia come pratica culturale e convivenze multispecie

**Sezione:** [[Sfera Ecosistemica]]
**Autori:** [[Timothy Morton]], [[Donna J. Haraway]], [[Massimo Filippi]]

**Concetti Chiave:** Ecologia, Pratica Culturale, Conviventi Multispecie, Specismo, Natura

Visione dell'ecologia come pratica culturale che si fonda sulla critica all'idea di 'Natura' (Morton) e propone 'convivenze multispecie' (Haraway) superando lo specismo (Filippi).

> *L'animale, dunque, non è un'alterità esterna, ma una diffrazione interna all'umano. [...] Pensare la singolarità animale significa, perciò, innanzitutto decostruire la metafisica della soggettività che ha posto l'Uomo come fondamento e misura di tutte le cose.*

**Fonte:** Il virus e la specie. Diffrazioni della vita informe, pp. 41-48"
"Ecologia relazionale e alleanze multispecie (Latour)","La sua collocazione finale come 'ecologia-relazionale' è una sintesi che unisce: la politica affermativa nomade (Braidotti), le 'alleanze multispecie' (Haraway), la critica allo specismo (Filippi) e la necessità di una nuova politica per il 'Nuovo Regime Climatico' (Latour).","Bruno Latour et al.","","","","Ambiti di ricerca","### Ecologia relazionale e alleanze multispecie (Latour)

**Sezione:** [[Ambiti di ricerca]]
**Autori:** [[Bruno Latour]], [[Rosi Braidotti]], [[Donna J. Haraway]], [[Massimo Filippi]]

**Concetti Chiave:** Ecologia Relazionale, Nuovo Regime Climatico, Alleanze Multispecie

La sua collocazione finale come 'ecologia-relazionale' è una sintesi che unisce: la politica affermativa nomade (Braidotti), le 'alleanze multispecie' (Haraway), la critica allo specismo (Filippi) e la necessità di una nuova politica per il 'Nuovo Regime Climatico' (Latour).

> **Nota:** Questa è una nota concettuale di sintesi, non legata a una singola pagina.

**Fonte:** [[]]"
"Il desiderio come produzione (macchine desideranti)","L'idea che il capitalismo operi direttamente a livello del 'desiderio' è centrale ne L'Anti-Edipo. Per Deleuze e Guattari, il desiderio non è mancanza, ma produzione: è una 'macchina desiderante'.","Gilles Deleuze & Félix Guattari","L'Anti-Edipo. Capitalismo e schizofrenia","9","","La Diffrazione","### Il desiderio come produzione (macchine desideranti)

**Sezione:** [[La Diffrazione]]
**Autori:** [[Gilles Deleuze]], [[Félix Guattari]]

**Concetti Chiave:** Macchine Desideranti, Desiderio, Produzione, Anti-Edipo

L'idea che il capitalismo operi direttamente a livello del 'desiderio' è centrale ne L'Anti-Edipo. Per Deleuze e Guattari, il desiderio non è mancanza, ma produzione: è una 'macchina desiderante'.

> *Esso funziona incessantemente, a guisa di macchina. Macchine respiratorie, macchine cardiache, macchine uditive, macchine desideranti... Dovunque macchine, e nient'affatto metaforicamente: macchine di macchine, con i loro accoppiamenti, i loro collegamenti.*

**Fonte:** L'Anti-Edipo. Capitalismo e schizofrenia, p. 9"
"Capitalismo e flussi del desiderio","Per Deleuze e Guattari, la 'macchina capitalista' funziona decodificando i flussi e privatizzando il desiderio, legandolo alla produzione di un soggetto nevrotico e individualizzato. La 'schizofrenia' come processo rappresenta la linea di fuga da questa normalizzazione.","Gilles Deleuze & Félix Guattari","L'Anti-Edipo. Capitalismo e schizofrenia","19","","Trasformare la normatività","### Capitalismo e flussi del desiderio

**Sezione:** [[Trasformare la normatività]]
**Autori:** [[Gilles Deleuze]], [[Félix Guattari]]

**Concetti Chiave:** Capitalismo, Desiderio, Schizoanalisi, Corpo senza Organi

Per Deleuze e Guattari, la 'macchina capitalista' funziona decodificando i flussi e privatizzando il desiderio, legandolo alla produzione di un soggetto nevrotico e individualizzato. La 'schizofrenia' come processo rappresenta la linea di fuga da questa normalizzazione.

> *Il corpo senza organi è un uovo. È attraversato da assi e soglie, da latitudini, longitudini e geodetiche, attraversato da gradienti che segnano i divenire e i passaggi, le destinazioni dello sperimentatore.*

**Fonte:** L'Anti-Edipo. Capitalismo e schizofrenia, p. 19"
"Deterritorializzazione come linea di fuga","La strategia di 'de-territorializzazione' è un concetto chiave sviluppato da Deleuze e Guattari per descrivere il movimento con cui i flussi di desiderio sfuggono ai codici repressivi, prima di essere 'ri-territorializzati' da nuove strutture.","Gilles Deleuze & Félix Guattari","L'Anti-Edipo. Capitalismo e schizofrenia","200-205","","Rompere la normatività","### Deterritorializzazione come linea di fuga

**Sezione:** [[Rompere la normatività]]
**Autori:** [[Gilles Deleuze]], [[Félix Guattari]]

**Concetti Chiave:** Deterritorializzazione, Ri-territorializzazione, Flussi

La strategia di 'de-territorializzazione' è un concetto chiave sviluppato da Deleuze e Guattari per descrivere il movimento con cui i flussi di desiderio sfuggono ai codici repressivi, prima di essere 'ri-territorializzati' da nuove strutture.

> *La deterritorializzazione non è mai senza una ri-territorializzazione. [...] Il capitalismo è il limite di ogni società, in quanto opera una deterritorializzazione generalizzata dei flussi.*

**Fonte:** L'Anti-Edipo. Capitalismo e schizofrenia, pp. 200-205"
"Scrittura in rete e schizoanalisi","Questa critica all'autore individuale e la proposta di una 'scrittura in rete' polifonica si allineano al progetto dello 'schizoanalista' di Deleuze e Guattari, che non interpreta ma 'smonta' i flussi e le connessioni, operando come una macchina collettiva.","Gilles Deleuze & Félix Guattari","L'Anti-Edipo. Capitalismo e schizofrenia","399","","'Compost' come nuovo metodo di scrittura e lettura","### Scrittura in rete e schizoanalisi

**Sezione:** [['Compost' come nuovo metodo di scrittura e lettura]]
**Autori:** [[Gilles Deleuze]], [[Félix Guattari]]

**Concetti Chiave:** Schizoanalisi, Scrittura, Rete, Polifonia

Questa critica all'autore individuale e la proposta di una 'scrittura in rete' polifonica si allineano al progetto dello 'schizoanalista' di Deleuze e Guattari, che non interpreta ma 'smonta' i flussi e le connessioni, operando come una macchina collettiva.

> *La schizoanalisi non ha altro scopo che partecipare alla distruzione rivoluzionaria dell'inconscio.*

**Fonte:** L'Anti-Edipo. Capitalismo e schizofrenia, p. 399"
"Disinventare la modernità","Questa domanda sulla necessità di un nuovo approccio alla modernità, che non sia basato sulla conquista o sulla 'colonizzazione' del pensiero, è al centro delle conversazioni con François Ewald, in cui si esplora come 'disinventare' le categorie moderne.","François Ewald","Disinventare la modernità. Conversazioni con François Ewald","","","Ambiti di ricerca","### Disinventare la modernità

**Sezione:** [[Ambiti di ricerca]]
**Autori:** [[François Ewald]]

**Concetti Chiave:** Modernità, Critica, Disinvenzione

Questa domanda sulla necessità di un nuovo approccio alla modernità, che non sia basato sulla conquista o sulla 'colonizzazione' del pensiero, è al centro delle conversazioni con François Ewald, in cui si esplora come 'disinventare' le categorie moderne.

> **Nota:** Questa è una nota concettuale di sintesi, non legata a una singola pagina.

**Fonte:** Disinventare la modernità. Conversazioni con François Ewald"
"Sintesi finale e collasso dei confini","La sua collocazione finale come pratica che fa 'collassare confini' è una sintesi che unisce la critica alla modernità (Ewald), la proposta di una metodologia rizomatica (Deleuze & Guattari) e la politica nomade (Braidotti) per creare una pratica affermativa (Haraway) basata sull'ontologia relazionale (Barad).","François Ewald et al.","","","","Ambiti di ricerca","### Sintesi finale e collasso dei confini

**Sezione:** [[Ambiti di ricerca]]
**Autori:** [[François Ewald]], [[Gilles Deleuze]], [[Félix Guattari]], [[Rosi Braidotti]], [[Donna J. Haraway]], [[Karen Barad]]

**Concetti Chiave:** Sintesi, Modernità, Rizoma, Pensiero Nomade, Intra-azione

La sua collocazione finale come pratica che fa 'collassare confini' è una sintesi che unisce la critica alla modernità (Ewald), la proposta di una metodologia rizomatica (Deleuze & Guattari) e la politica nomade (Braidotti) per creare una pratica affermativa (Haraway) basata sull'ontologia relazionale (Barad).

> **Nota:** Questa è una nota concettuale di sintesi, non legata a una singola pagina.

**Fonte:** [[]]"

"Educazione come pratica della libertà (hooks)","La critica al modello educativo tradizionale, basato su una gerarchia rigida, è un tema centrale in bell hooks, che vi contrappone un''educazione come pratica della libertà', basata sul dialogo e sulla co-costruzione della conoscenza.","bell hooks","Insegnare a trasgredire. L'educazione come pratica della libertà","278","","La Diffrazione","### Educazione come pratica della libertà (hooks)

**Sezione:** [[La Diffrazione]]
**Autori:** [[bell hooks]]

**Concetti Chiave:** Pedagogia Critica, Libertà, Educazione

La critica al modello educativo tradizionale, basato su una gerarchia rigida, è un tema centrale in bell hooks, che vi contrappone un''educazione come pratica della libertà', basata sul dialogo e sulla co-costruzione della conoscenza.

> *L'aula, con tutte le sue limitazioni, rimane un luogo di possibilità. In quel campo di possibilità abbiamo l'opportunità di lavorare per la libertà, di chiedere a noi stessi e ai nostri compagni un'apertura della mente e del cuore che ci permetta di andare oltre i confini del conosciuto.*

**Fonte:** Insegnare a trasgredire. L'educazione come pratica della libertà, p. 278"
"Pedagogia impegnata e trasformazione","bell hooks critica un'educazione che evita di affrontare le questioni scottanti della vita reale (razzismo, sessismo, violenza). Per lei, l'aula deve essere un luogo in cui la teoria si connette alla pratica vissuta per 'trasgredire' e trasformare le strutture di dominio.","bell hooks","Insegnare a trasgredire. L'educazione come pratica della libertà","59-71","","Trasformare la normatività","### Pedagogia impegnata e trasformazione

**Sezione:** [[Trasformare la normatività]]
**Autori:** [[bell hooks]]

**Concetti Chiave:** Pedagogia Critica, Trasgressione, Pratica Liberatoria

bell hooks critica un'educazione che evita di affrontare le questioni scottanti della vita reale (razzismo, sessismo, violenza). Per lei, l'aula deve essere un luogo in cui la teoria si connette alla pratica vissuta per 'trasgredire' e trasformare le strutture di dominio.

> *L'educazione come pratica della libertà è un modo di insegnare che chiunque può imparare. È un processo che ci porta da un luogo all'altro, che ci permette di crescere e cambiare.*

**Fonte:** Insegnare a trasgredire. L'educazione come pratica della libertà, p. 278"
"Diventare anormali come atto politico","La sua proposta di 'diventare anormali' si allinea all'etica affermativa di Rosi Braidotti, che valorizza le soggettività 'mostruose' o non-normative (come il cyborg) come punti di forza per la creazione di nuove possibilità politiche.","Rosi Braidotti","Materialismo radicale. Itinerari etici per cyborg e cattive ragazze","70","","Rompere la normatività","### Diventare anormali come atto politico

**Sezione:** [[Rompere la normatività]]
**Autori:** [[Rosi Braidotti]]

**Concetti Chiave:** Anormalità, Politica affermativa, Cyborg

La sua proposta di 'diventare anormali' si allinea all'etica affermativa di Rosi Braidotti, che valorizza le soggettività 'mostruose' o non-normative (come il cyborg) come punti di forza per la creazione di nuove possibilità politiche.

> *La politica affermativa si basa sulla convinzione che il soggetto è un'entità complessa e stratificata, un assemblaggio di forze e desideri. Non è una questione di identità, ma di divenire.*

**Fonte:** Materialismo radicale. Itinerari etici per cyborg e cattive ragazze, p. 70"
"Pensiero critico come pratica comunitaria","Per bell hooks, il pensiero critico non è un'abilità puramente intellettuale, ma una pratica dialogica e comunitaria. L'educazione deve creare una 'comunità di apprendimento' in cui si impara insieme a mettere in discussione le norme.","bell hooks","Insegnare il pensiero critico. Saggezza pratica","25","","Trasformare l’accademismo","### Pensiero critico come pratica comunitaria

**Sezione:** [[Trasformare l’accademismo]]
**Autori:** [[bell hooks]]

**Concetti Chiave:** Pensiero Critico, Comunità, Dialogo

Per bell hooks, il pensiero critico non è un'abilità puramente intellettuale, ma una pratica dialogica e comunitaria. L'educazione deve creare una 'comunità di apprendimento' in cui si impara insieme a mettere in discussione le norme.

> *Il pensiero critico è un processo. È un modo di avvicinarsi alle idee che richiede immaginazione, curiosità e apertura. [...] Incoraggiare il pensiero critico significa permettere agli studenti di correre dei rischi, di commettere errori.*

**Fonte:** Insegnare il pensiero critico. Saggezza pratica, p. 25"
"Teoria come pratica liberatoria","bell hooks insiste sull'importanza di rendere la teoria accessibile e di utilizzare la 'testimonianza' personale come strumento per collegare i concetti astratti all'esperienza vissuta, rompendo l'elitarismo del linguaggio accademico.","bell hooks","Insegnare a trasgredire. L'educazione come pratica della libertà","81","","Trasformare l’accademismo","### Teoria come pratica liberatoria

**Sezione:** [[Trasformare l’accademismo]]
**Autori:** [[bell hooks]]

**Concetti Chiave:** Teoria, Pratica Liberatoria, Accessibilità

bell hooks insiste sull'importanza di rendere la teoria accessibile e di utilizzare la 'testimonianza' personale come strumento per collegare i concetti astratti all'esperienza vissuta, rompendo l'elitarismo del linguaggio accademico.

> *La teoria non è intrinsecamente curativa, liberatoria o rivoluzionaria. Dipende da come la usiamo. [...] Quando la nostra vita diventa il soggetto della nostra teorizzazione, possiamo guarire.*

**Fonte:** Insegnare a trasgredire. L'educazione come pratica della libertà, p. 81"
"Critica all'elitarismo accademico (hooks)","Questa è una delle critiche centrali di bell hooks al sistema educativo. Lei sostiene che il linguaggio volutamente complesso e l'elitarismo accademico sono forme di potere che perpetuano le gerarchie di classe e di razza, escludendo le voci subalterne.","bell hooks","Insegnare a trasgredire. L'educazione come pratica della libertà","100","","Accessibilità delle pratiche","### Critica all'elitarismo accademico (hooks)

**Sezione:** [[Accessibilità delle pratiche]]
**Autori:** [[bell hooks]]

**Concetti Chiave:** Elitarismo, Accademismo, Potere

Questa è una delle critiche centrali di bell hooks al sistema educativo. Lei sostiene che il linguaggio volutamente complesso e l'elitarismo accademico sono forme di potere che perpetuano le gerarchie di classe e di razza, escludendo le voci subalterne.

> *Il linguaggio può essere un luogo di lotta. [...] Quando parliamo in una lingua che è diversa da quella di chi ci opprime, creiamo uno spazio di resistenza.*

**Fonte:** Insegnare a trasgredire. L'educazione come pratica della libertà, p. 100"
"Praxis e educazione impegnata","Questa visione è centrale nell''educazione impegnata' (engaged pedagogy) di bell hooks, per la quale non c'è separazione tra teoria e pratica. La conoscenza emerge dall'esperienza e deve tornare a essa per produrre trasformazione.","bell hooks","Insegnare a trasgredire. L'educazione come pratica della libertà","278","","'Compost' come nuovo metodo di scrittura e lettura","### Praxis e educazione impegnata

**Sezione:** [['Compost' come nuovo metodo di scrittura e lettura]]
**Autori:** [[bell hooks]]

**Concetti Chiave:** Praxis, Pedagogia Impegnata, Teoria/Pratica

Questa visione è centrale nell''educazione impegnata' (engaged pedagogy) di bell hooks, per la quale non c'è separazione tra teoria e pratica. La conoscenza emerge dall'esperienza e deve tornare a essa per produrre trasformazione.

> *L'educazione come pratica della libertà è un processo che ci porta da un luogo all'altro, che ci permette di crescere e cambiare.*

**Fonte:** Insegnare a trasgredire. L'educazione come pratica della libertà, p. 278"
"Questioning e pedagogia dialogica","Per bell hooks, il dialogo e il porre domande sono strumenti essenziali per smantellare la gerarchia docente/studente e creare un ambiente di apprendimento reciproco e non autoritario.","bell hooks","Insegnare il pensiero critico. Saggezza pratica","79","","Diventare 'Compost'","### Questioning e pedagogia dialogica

**Sezione:** [[Diventare 'Compost']]
**Autori:** [[bell hooks]]

**Concetti Chiave:** Questioning, Dialogo, Pedagogia Critica

Per bell hooks, il dialogo e il porre domande sono strumenti essenziali per smantellare la gerarchia docente/studente e creare un ambiente di apprendimento reciproco e non autoritario.

> *Il dialogo è una pratica radicale. Richiede che siamo presenti e impegnati, che ascoltiamo e parliamo con cura.*

**Fonte:** Insegnare il pensiero critico. Saggezza pratica, p. 79"
"Disimparare come pratica critica","'Disimparare' (unlearning) i pregiudizi e le norme interiorizzate è per bell hooks un passo fondamentale e doloroso del processo educativo, necessario per costruire un pensiero critico autentico.","bell hooks","Insegnare a trasgredire. L'educazione come pratica della libertà","","","Diventare 'Compost'","### Disimparare come pratica critica

**Sezione:** [[Diventare 'Compost']]
**Autori:** [[bell hooks]]

**Concetti Chiave:** Disimparare, Pensiero Critico, Normatività

'Disimparare' (unlearning) i pregiudizi e le norme interiorizzate è per bell hooks un passo fondamentale e doloroso del processo educativo, necessario per costruire un pensiero critico autentico.

> **Nota:** Questa è una nota concettuale di sintesi, non legata a una singola pagina.

**Fonte:** Insegnare a trasgredire. L'educazione come pratica della libertà"
"Educazione come pratica della libertà e accessibilità","Il suo posizionamento finale come pratica 'accessibile, decoloniale e che redistribuisce il sapere' incarna l'obiettivo dell''educazione come pratica della libertà' di bell hooks.","bell hooks","Insegnare a trasgredire. L'educazione come pratica della libertà","","","Ambiti di ricerca","### Educazione come pratica della libertà e accessibilità

**Sezione:** [[Ambiti di ricerca]]
**Autori:** [[bell hooks]]

**Concetti Chiave:** Accessibilità, Decolonizzazione, Libertà

Il suo posizionamento finale come pratica 'accessibile, decoloniale e che redistribuisce il sapere' incarna l'obiettivo dell''educazione come pratica della libertà' di bell hooks.

> **Nota:** Questa è una nota concettuale di sintesi, non legata a una singola pagina.

**Fonte:** Insegnare a trasgredire. L'educazione come pratica della libertà"
"Materia vibrante e thing-power","Concezione della materia come entità attiva e non inerte, centrale nel 'materialismo vitale' di Jane Bennett, che parla di 'materia vibrante' (vibrant matter) per sottolineare l'agency e la forza (thing-power) degli oggetti non-umani.","Jane Bennett","Vibrant Matter: A Political Ecology of Things","viii","","La Diffrazione","### Materia vibrante e thing-power

**Sezione:** [[La Diffrazione]]
**Autori:** [[Jane Bennett]]

**Concetti Chiave:** Materia Vibrante, Thing-Power, Neo-materialismo

Concezione della materia come entità attiva e non inerte, centrale nel 'materialismo vitale' di Jane Bennett, che parla di 'materia vibrante' (vibrant matter) per sottolineare l'agency e la forza (thing-power) degli oggetti non-umani.

> *Vibrant matter [...] is a project that seeks to give voice to a thing-power... It is a speculative onto-story, a speculative materialism. By 'vitality' I mean the capacity of things—edibles, commodities, storms, metals—not only to impede or block the will and designs of humans but also to act as quasi agents or forces with trajectories, propensities, or tendencies of their own.*

**Fonte:** Vibrant Matter: A Political Ecology of Things, p. viii (Preface)"
"Agency degli assemblaggi","Jane Bennett critica la visione della materia come risorsa passiva. Per lei, l'agency non è una proprietà esclusiva dei soggetti umani, ma emerge dagli 'assemblaggi' (assemblages), ovvero dagli incontri contingenti tra agenti umani e non-umani.","Jane Bennett","Vibrant Matter: A Political Ecology of Things","20-38","","La Materia","### Agency degli assemblaggi

**Sezione:** [[La Materia]]
**Autori:** [[Jane Bennett]]

**Concetti Chiave:** Assemblaggio, Agency, Neo-materialismo

Jane Bennett critica la visione della materia come risorsa passiva. Per lei, l'agency non è una proprietà esclusiva dei soggetti umani, ma emerge dagli 'assemblaggi' (assemblages), ovvero dagli incontri contingenti tra agenti umani e non-umani.

> *An assemblage is a concatenation of trans-species, trans-subjective actants whose efficacy derives from their contingent connections. [...] Agency is distributed across a variety of materialities.*

**Fonte:** Vibrant Matter: A Political Ecology of Things, pp. 20-38"
"Materialità come assemblaggio","La sua definizione di materialità come 'assemblaggio' unisce l'ontologia dell'intra-azione di Barad con la teoria politica degli assemblaggi di Jane Bennett. Per entrambe, l'agency non preesiste all'incontro, ma emerge dalla relazione stessa.","Jane Bennett & Karen Barad","Vibrant Matter: A Political Ecology of Things","20-38","","La Materia","### Materialità come assemblaggio

**Sezione:** [[La Materia]]
**Autori:** [[Jane Bennett]], [[Karen Barad]]

**Concetti Chiave:** Assemblaggio, Intra-azione, Agency

La sua definizione di materialità come 'assemblaggio' unisce l'ontologia dell'intra-azione di Barad con la teoria politica degli assemblaggi di Jane Bennett. Per entrambe, l'agency non preesiste all'incontro, ma emerge dalla relazione stessa.

> *An assemblage is a concatenation of trans-species, trans-subjective actants whose efficacy derives from their contingent connections. [...] Agency is distributed across a variety of materialities.*

**Fonte:** Vibrant Matter: A Political Ecology of Things, pp. 20-38"
"Queer come politica di messa in discussione","Il termine 'Queer', in questo contesto, non si riferisce solo all'identità sessuale, ma a una politica che sfida attivamente ogni forma di normalizzazione. È una 'teoria e una pratica di messa in discussione radicale delle norme che regolano la società'.","Collettivo Ippolita","Lessico del Transfemminismo Queer","19","","Trasformare la normatività","### Queer come politica di messa in discussione

**Sezione:** [[Trasformare la normatività]]
**Autori:** [[Collettivo Ippolita]]

**Concetti Chiave:** Queer, Normatività, Transfemminismo

Il termine 'Queer', in questo contesto, non si riferisce solo all'identità sessuale, ma a una politica che sfida attivamente ogni forma di normalizzazione. È una 'teoria e una pratica di messa in discussione radicale delle norme che regolano la società'.

> *Queer è una teoria e una pratica di messa in discussione radicale delle norme che regolano la società, a partire da quelle che definiscono il genere e la sessualità.*

**Fonte:** Lessico del Transfemminismo Queer, p. 19"
"Transfemminismo come movimento intersezionale","Il 'Transfemminismo' è un movimento che unisce la critica del femminismo al patriarcato con quella del movimento trans all'essenzialismo di genere, in un'ottica intersezionale che lotta contro ogni forma di oppressione.","Collettivo Ippolita","Lessico del Transfemminismo Queer","11","","Trasformare l’accademismo","### Transfemminismo come movimento intersezionale

**Sezione:** [[Trasformare l’accademismo]]
**Autori:** [[Collettivo Ippolita]]

**Concetti Chiave:** Transfemminismo, Intersezionalità, Femminismo

Il 'Transfemminismo' è un movimento che unisce la critica del femminismo al patriarcato con quella del movimento trans all'essenzialismo di genere, in un'ottica intersezionale che lotta contro ogni forma di oppressione.

> *Il transfemminismo è un movimento politico che intreccia le lotte femministe e quelle trans*, in un'ottica intersezionale che include la critica al razzismo, al capitalismo, all'abilismo e a ogni forma di dominio.*

**Fonte:** Lessico del Transfemminismo Queer, p. 11"
"Educazione per la trasformazione sociale radicale","La proposta di un'educazione che non si limiti a includere le minoranze, ma che decostruisca attivamente le strutture normative che le producono, è centrale nel concetto di 'educazione per la trasformazione sociale radicale'.","Nathan Snaza et al.","Educating for Radical Social Transformation: Anti-fascist, Decolonial, and Abolitionist Approaches to Education","","","Accessibilità delle pratiche","### Educazione per la trasformazione sociale radicale

**Sezione:** [[Accessibilità delle pratiche]]
**Autori:** [[Nathan Snaza]]

**Concetti Chiave:** Educazione Radicale, Trasformazione Sociale, Decolonizzazione

La proposta di un'educazione che non si limiti a includere le minoranze, ma che decostruisca attivamente le strutture normative che le producono, è centrale nel concetto di 'educazione per la trasformazione sociale radicale'.

> **Nota:** Questa è una nota concettuale di sintesi, non legata a una singola pagina.

**Fonte:** Educating for Radical Social Transformation: Anti-fascist, Decolonial, and Abolitionist Approaches to Education"
"Pedagogia decoloniale e anticapitalista","Questa visione di un'educazione e di una ricerca basate sulla solidarietà e sulla creazione di 'beni comuni' (commons) si oppone al modello neoliberale dell'università, proponendo una pedagogia decoloniale e anticapitalista.","Nathan Snaza et al.","Educating for Radical Social Transformation: Anti-fascist, Decolonial, and Abolitionist Approaches to Education","","","Accessibilità delle pratiche","### Pedagogia decoloniale e anticapitalista

**Sezione:** [[Accessibilità delle pratiche]]
**Autori:** [[Nathan Snaza]]

**Concetti Chiave:** Pedagogia Decoloniale, Anticapitalismo, Art Commons

Questa visione di un'educazione e di una ricerca basate sulla solidarietà e sulla creazione di 'beni comuni' (commons) si oppone al modello neoliberale dell'università, proponendo una pedagogia decoloniale e anticapitalista.

> **Nota:** Questa è una nota concettuale di sintesi, non legata a una singola pagina.

**Fonte:** Educating for Radical Social Transformation: Anti-fascist, Decolonial, and Abolitionist Approaches to Education"
"Materia vibrante e relazionalità ecologica","La sua visione della materia come 'agente vibrante' si fonda sul 'materialismo vitale' di Jane Bennett, che le attribuisce una forza propria (thing-power), e si distingue da una visione della natura come mero sfondo per l'azione umana.","Jane Bennett","Vibrant Matter: A Political Ecology of Things","","","Sfera Ecosistemica","### Materia vibrante e relazionalità ecologica

**Sezione:** [[Sfera Ecosistemica]]
**Autori:** [[Jane Bennett]]

**Concetti Chiave:** Materia Vibrante, Ecologia, Relazionalità

La sua visione della materia come 'agente vibrante' si fonda sul 'materialismo vitale' di Jane Bennett, che le attribuisce una forza propria (thing-power), e si distingue da una visione della natura come mero sfondo per l'azione umana.

> **Nota:** Questa è una nota concettuale di sintesi, non legata a una singola pagina.

**Fonte:** Vibrant Matter: A Political Ecology of Things"
